"Time Series - GHGs from Agriculture, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Germany,"72,632.03","72,632.03","65,681.35","64,228.08","63,328.89","63,179.01","63,189.25","63,734.24","62,749.87","63,202.48","63,368.03","62,732.48","63,456.55","61,258.86","60,681.55","59,802.12","59,623.26","58,506.35","59,063.36","59,423.92","59,768.20","59,355.48","59,394.44","60,052.38","60,852.00","62,107.72","61,967.23","61,546.13","60,866.86","59,265.36","58,525.01","57,551.88","56,332.89",-22.44%
Greece,"10,534.68","10,534.68","10,548.85","10,271.49","9,791.13","9,524.15","9,887.56","9,938.03","9,865.49","9,822.21","9,734.57","9,563.76","9,536.74","9,537.18","9,512.85","9,541.09","9,337.32","9,244.70","9,368.95","9,092.01","8,881.73","9,198.69","8,965.32","8,839.48","8,754.65","8,347.14","8,165.96","8,157.39","8,189.34","8,121.04","8,100.53","8,153.85","8,045.99",-23.62%
Hungary,"12,058.09","10,090.85","8,646.40","7,401.68","6,504.59","6,315.63","6,041.98","6,059.16","6,017.57","6,193.72","6,266.06","6,149.08","6,298.35","6,326.97","6,171.52","6,386.60","6,081.85","6,027.31","6,007.51","6,014.84","5,675.04","5,604.19","5,788.94","5,840.89","6,206.23","6,441.54","6,654.02","6,945.94","6,949.64","7,000.34","6,989.33","7,169.75","7,201.98",-40.27%
Iceland,695.25,695.25,677.11,658.73,659.64,663.26,643.45,656.32,647.85,660.10,657.71,641.40,639.84,622.73,614.97,608.97,610.78,636.33,652.38,669.18,658.49,646.37,644.46,640.72,624.97,668.28,659.23,658.73,659.58,637.77,621.47,617.01,620.07,-10.81%
Ireland,"19,668.61","19,668.61","19,914.53","20,070.95","20,437.54","20,556.23","21,112.77","21,626.98","21,836.17","22,393.61","22,078.41","21,182.75","20,977.06","20,731.39","21,032.15","20,655.58","20,487.52","20,494.83","19,885.85","19,653.81","19,358.81","19,427.95","18,821.03","19,706.42","20,504.14","20,056.24","20,620.34","21,161.49","21,897.67","22,719.21","21,789.78","22,133.28","22,953.53",16.70%
Italy,"37,675.99","37,675.99","38,567.96","38,030.21","38,384.88","38,137.52","38,076.40","38,047.88","38,514.77","37,923.63","38,370.92","37,184.86","36,859.87","36,165.84","35,958.98","35,226.11","34,628.61","34,121.39","34,760.49","33,694.37","33,128.24","32,224.53","32,780.83","33,199.96","32,427.12","32,144.17","32,101.67","33,011.80","32,580.81","32,306.49","32,190.29","33,426.51","32,717.22",-13.16%
Japan,"37,515.64","37,515.64","37,131.79","37,893.21","37,903.45","38,001.16","37,096.27","36,294.40","36,355.49","35,222.64","35,263.06","35,238.81","34,514.60","34,675.01","34,256.02","34,113.11","34,527.66","34,367.62","34,731.59","33,618.89","33,439.29","33,667.46","32,928.63","32,555.29","32,782.10","32,373.60","32,118.87","32,142.07","32,255.97","32,023.19","31,990.59","32,101.38","32,174.35",-14.24%
Kazakhstan,"43,860.95","43,860.95","46,710.63","51,645.61","53,829.14","49,801.06","50,143.38","49,197.30","50,724.01","54,506.17","60,597.27","70,620.38","64,111.29","58,155.41","52,349.91","46,385.12","40,313.21","34,378.88","34,527.19","34,121.82","33,974.50","33,385.84","31,889.91","30,973.61","30,773.52","32,104.95","33,304.86","34,566.21","36,228.60","37,856.18","39,101.92","41,419.52","42,845.43",-2.32%
Latvia,"5,030.48","5,030.48","4,646.51","3,589.33","2,476.85","2,182.81","2,030.45","1,983.62","1,962.86","1,854.24","1,656.83","1,680.55","1,789.52","1,764.47","1,803.91","1,728.83","1,790.84","1,792.10","1,874.37","1,835.50","1,854.51","1,870.07","1,883.73","1,962.72","2,025.70","2,105.34","2,151.47","2,163.27","2,176.66","2,096.41","2,198.36","2,250.41","2,252.96",-55.21%
Liechtenstein,26.04,26.04,26.03,25.31,24.15,24.28,24.14,24.35,23.97,23.52,22.51,21.86,22.98,23.35,23.51,23.51,24.16,25.25,25.63,25.84,25.74,24.88,25.66,26.00,24.80,25.22,25.03,25.06,24.42,24.89,25.71,25.91,25.53,-1.94%
Lithuania,"9,000.56","9,000.56","8,855.02","6,873.59","5,516.81","4,865.48","4,501.71","4,640.08","4,670.30","4,506.37","4,217.15","4,011.66","3,842.22","3,983.55","4,069.98","4,118.34","4,129.74","4,135.59","4,274.52","4,170.41","4,232.52","4,191.20","4,225.78","4,287.37","4,254.53","4,459.44","4,537.64","4,444.56","4,400.01","4,265.55","4,286.97","4,507.75","4,327.72",-51.92%
Luxembourg,702.07,702.07,703.52,693.58,697.35,680.23,698.63,703.63,695.27,689.89,690.90,684.72,672.78,656.95,629.17,632.62,629.92,621.90,633.91,653.16,654.02,662.09,647.14,635.83,648.82,662.81,672.49,694.07,699.07,701.26,690.87,702.97,697.35,-0.67%
Malta,108.77,108.77,111.50,114.06,113.97,111.15,107.67,111.10,112.93,107.68,111.12,105.23,101.70,100.83,97.40,101.00,91.46,90.05,91.49,88.95,86.20,85.05,82.53,84.23,84.47,84.50,84.66,85.57,84.79,83.57,86.41,89.27,87.71,-19.36%
Monaco,"NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA",—
Netherlands,"25,162.32","25,162.32","25,499.47","25,515.81","25,127.59","24,200.14","24,194.72","23,824.58","22,975.44","22,280.34","21,805.42","20,627.76","20,244.32","18,994.45","18,638.15","18,412.15","18,253.91","18,387.82","18,204.26","18,258.73","18,208.39","18,221.55","17,898.84","17,704.18","18,204.71","18,370.13","18,998.12","19,262.57","19,270.67","18,671.48","18,446.62","18,370.39","17,974.70",-28.56%
New Zealand,"33,312.05","33,312.05","33,557.06","33,113.29","33,506.03","34,605.10","35,176.37","35,500.52","36,330.83","35,740.37","35,974.61","37,068.76","37,837.17","37,727.75","38,300.97","38,414.97","38,794.31","38,529.26","37,663.20","36,398.58","36,525.28","36,759.84","37,334.44","38,019.05","38,179.95","38,755.23","38,269.38","37,853.52","38,007.76","38,326.00","38,399.83","38,360.19","37,786.14",13.43%
Norway,"4,946.56","4,946.56","4,877.92","4,848.04","4,841.25","4,850.57","4,888.59","4,923.63","4,862.54","4,854.99","4,881.83","4,715.30","4,666.88","4,648.89","4,726.95","4,687.85","4,696.65","4,605.66","4,594.47","4,579.30","4,571.20","4,494.27","4,452.73","4,471.45","4,522.96","4,594.14","4,662.19","4,719.28","4,695.15","4,673.39","4,630.87","4,648.56","4,701.71",-4.95%
Poland,"50,057.03","49,291.34","42,514.51","38,641.17","37,212.72","36,922.29","36,724.76","35,755.94","36,562.43","36,457.19","34,988.94","33,205.86","32,615.28","31,664.66","31,190.86","31,251.47","31,659.42","32,148.73","32,843.79","32,939.52","32,256.88","31,659.66","31,989.59","31,826.63","32,464.68","32,364.07","31,705.48","32,067.10","33,359.59","33,688.37","32,595.16","34,051.67","34,035.26",-32.01%
Portugal,"7,339.17","7,339.17","7,368.83","7,253.47","7,195.53","7,222.49","7,277.51","7,466.80","7,494.20","7,454.14","7,584.25","7,698.95","7,449.33","7,326.25","7,047.52","7,253.51","6,929.26","6,878.92","6,994.94","6,944.27","6,880.59","6,814.26","6,768.83","6,793.96","6,757.30","6,890.14","6,911.36","6,954.21","7,067.60","7,148.64","7,248.62","7,271.89","7,258.18",-1.10%
