"Time Series - GHGs from Land use, Land-use Change and Forestry, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Finland,"-25,806.85","-25,806.85","-38,237.43","-32,251.23","-32,935.67","-26,156.51","-24,830.06","-31,192.99","-26,604.59","-24,623.13","-24,870.93","-24,451.21","-25,181.38","-26,346.33","-26,867.73","-28,373.64","-28,447.79","-32,351.26","-22,710.44","-25,310.60","-37,548.78","-26,026.48","-25,302.35","-27,046.96","-20,273.06","-20,760.88","-16,699.56","-13,413.63","-11,023.44","-1,799.16","-6,716.30","-9,112.97",486.61,-101.89%
France,"-16,920.98","-16,920.98","-17,048.68","-14,819.83","-18,775.29","-16,870.71","-19,967.95","-27,312.62","-28,982.30","-31,472.45","-36,142.05","-21,069.94","-34,315.13","-41,514.03","-47,895.62","-48,793.04","-50,694.05","-50,689.14","-49,218.07","-48,718.41","-37,957.98","-40,944.31","-42,361.49","-47,554.59","-45,463.03","-40,767.14","-36,702.83","-29,805.53","-18,476.49","-19,855.64","-16,029.34","-22,236.51","-16,788.79",-0.78%
Germany,"35,975.62","35,975.62","-24,955.62","-33,376.20","-34,338.57","-29,315.75","-23,118.49","-16,717.87","-15,968.96","-16,100.02","-20,064.43",-151.18,"-9,647.86","22,473.39","17,339.50","12,069.36","7,832.48",878.81,"3,964.59","-1,438.73","-10,142.78","-2,655.84","-8,809.07","-17,466.77","-16,212.76","-8,999.28","-11,171.58","-13,727.41","-10,705.19","-7,656.93","-6,822.26","4,196.84","3,998.40",-88.89%
Greece,"-2,247.59","-2,247.59","-2,372.78","-2,570.40","-3,053.72","-2,786.26","-3,040.88","-2,424.55","-2,164.00","-2,227.53","-2,699.77","-2,519.82","-2,626.38","-2,961.51","-2,711.56","-2,693.75","-3,528.50","-3,590.39","-2,276.27","-3,319.94","-3,424.63","-3,392.25","-3,498.76","-3,541.94","-2,022.22",-607.39,"-4,252.97","-4,071.89","-4,110.32","-4,945.11","-5,400.44","-5,415.90","-5,476.23",143.65%
Hungary,"-2,397.88","-3,361.54","-2,516.50","-3,082.31","-5,766.16","-6,412.32","-6,360.55","-2,686.74","-3,150.24","-4,217.31","-2,003.95","-1,099.38","-2,767.82","-2,063.75","-4,434.46","-3,467.21","-5,998.04","-4,046.68","-4,388.87","-6,066.47","-4,615.73","-4,831.98","-4,180.95","-4,764.49","-4,072.75","-5,102.45","-5,687.70","-4,561.50","-5,365.12","-4,811.59","-5,388.05","-7,109.55","-7,197.38",200.16%
Iceland,"9,609.60","9,609.60","9,617.44","9,609.48","9,602.68","9,597.98","9,587.16","9,584.18","9,582.22","9,584.82","9,593.18","9,603.81","9,616.46","9,633.83","9,633.45","9,634.83","9,635.34","9,698.29","9,602.01","9,642.59","9,632.93","9,596.24","9,569.41","9,563.10","9,549.50","9,529.07","9,505.85","9,476.45","9,436.27","9,409.71","9,410.33","9,420.78","9,397.83",-2.20%
Ireland,"6,009.44","6,009.44","5,813.89","5,568.47","5,671.88","5,738.75","6,702.17","6,355.78","5,821.92","5,632.47","5,724.03","7,325.64","8,417.84","8,300.09","8,773.86","7,238.40","7,691.01","7,614.88","6,559.43","6,111.11","5,556.76","7,055.79","6,176.52","5,486.63","6,289.67","5,826.94","6,259.41","5,036.47","7,438.86","6,263.98","6,657.07","7,042.45","7,338.25",22.11%
Italy,"-3,488.73","-3,488.73","-18,935.86","-16,951.75","-4,100.37","-17,143.05","-23,919.53","-25,425.04","-17,039.31","-14,577.38","-24,289.45","-21,554.14","-31,800.02","-36,119.98","-28,137.81","-34,470.31","-35,557.39","-36,365.47","-13,425.25","-31,915.91","-35,341.01","-41,684.59","-34,378.45","-24,913.91","-41,233.34","-41,914.72","-43,963.98","-43,160.97","-23,297.57","-45,170.65","-41,837.02","-32,544.72","-27,473.16",687.48%
Japan,"-63,272.18","-63,272.18","-72,077.83","-75,768.57","-79,036.43","-78,849.34","-78,560.48","-82,262.62","-83,279.49","-83,749.76","-82,977.55","-84,085.52","-84,734.06","-86,506.03","-98,038.71","-94,621.08","-88,841.24","-83,967.23","-79,901.02","-70,111.83","-67,013.45","-70,853.95","-69,120.05","-71,895.77","-64,653.76","-61,734.47","-56,132.44","-52,285.84","-56,248.09","-55,809.65","-50,699.93","-51,593.91","-51,694.59",-18.30%
Kazakhstan,"-6,496.21","-6,496.21","-6,235.73","-6,138.97","-5,972.34","4,416.76","17,826.15","23,455.69","42,895.76","42,284.02","40,609.49","42,710.78","57,007.79","59,623.56","68,706.87","73,131.98","83,158.61","96,317.13","84,769.63","77,727.77","70,503.50","65,559.36","49,128.83","34,503.86","19,132.25","19,330.19","20,870.22","19,045.77","25,206.78","20,668.20","14,366.84","8,127.16","2,714.36",-141.78%
Latvia,"-12,390.08","-12,390.08","-12,810.67","-13,198.84","-13,075.89","-15,975.81","-14,838.26","-15,004.52","-13,235.79","-12,286.11","-8,608.81","-11,851.13","-12,362.24","-10,646.59","-10,232.38","-6,519.19","-5,964.52","-6,745.49","-6,319.96","-6,706.02","-3,810.64","-2,028.93","-2,429.08","-3,788.78","-2,500.99","1,404.16",158.88,"-1,660.18","-3,109.65",-614.31,"-2,292.90",801.49,"2,394.45",-119.33%
Liechtenstein,7.53,7.53,-8.10,2.74,-0.51,18.61,5.30,-2.95,8.40,0.73,-0.36,25.10,2.19,3.12,7.12,9.29,9.35,14.14,23.20,25.32,22.38,20.96,24.69,24.96,17.51,17.44,12.16,10.38,11.67,22.34,12.35,4.79,0.29,-96.20%
Lithuania,"-5,347.89","-5,347.89","-5,667.48","-5,399.58","-6,355.29","-5,873.07","-4,601.22",934.23,-285.38,"-7,874.33","-7,188.90","-9,480.00","-7,309.32","-6,357.00","-5,593.96","-5,047.39","-4,152.81","-3,726.79","-5,531.27","-6,248.79","-7,260.20","-10,365.56","-10,563.94","-10,192.30","-9,580.74","-8,785.66","-7,953.42","-7,135.30","-6,551.57","-5,582.97","-5,882.69","-6,636.06","-6,090.89",13.89%
Luxembourg,8.99,8.99,-58.91,-464.52,-591.22,-443.43,-522.64,-558.37,-644.31,-538.43,-604.74,-614.75,-593.37,-583.05,-563.31,-609.46,-565.97,-484.98,-392.72,-410.69,-423.05,-205.40,-298.17,-368.19,-513.84,-422.59,-369.21,-468.32,-379.43,-241.15,-363.59,-447.65,-605.35,-6832.85%
