"Time Series - GHGs from Waste, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Germany,"41,208.89","41,208.89","42,608.21","43,072.00","42,650.10","41,491.84","40,135.98","38,261.99","34,832.35","32,230.18","30,177.98","28,249.56","26,207.97","24,490.61","22,699.14","20,118.02","18,453.67","16,383.41","14,868.19","13,478.05","12,098.71","10,853.39","9,987.16","9,167.35","8,380.64","7,779.89","7,175.14","6,655.16","6,281.33","5,897.27","5,376.59","4,901.03","4,494.05",-89.09%
Greece,"5,383.97","5,383.97","5,355.96","5,465.31","5,523.23","5,693.00","5,700.53","5,811.52","5,767.99","5,967.92","5,913.69","5,922.97","5,050.84","5,000.78","5,138.40","5,146.09","5,256.42","5,446.76","5,247.51","5,264.95","4,951.54","5,266.27","5,008.62","4,754.63","4,865.65","4,933.42","4,912.93","4,981.21","5,182.25","5,346.66","5,380.33","5,487.96","5,852.19",8.70%
Hungary,"3,563.66","4,086.33","4,171.40","4,217.60","4,270.77","4,310.75","4,358.69","4,370.38","4,422.27","4,472.05","4,539.16","4,612.39","4,612.22","4,690.48","4,737.80","4,698.44","4,657.06","4,598.12","4,591.37","4,542.45","4,576.22","4,547.85","4,368.91","4,407.51","4,199.38","4,080.46","3,944.23","3,809.44","3,830.41","3,800.65","3,788.03","3,762.46","3,733.37",4.76%
Iceland,243.59,243.59,252.36,266.28,281.33,287.62,301.01,316.74,325.06,315.91,323.88,336.27,345.34,358.74,352.51,355.66,339.76,367.02,370.45,350.90,336.90,334.49,313.50,292.56,302.87,289.15,289.49,274.62,269.98,280.20,241.11,265.65,268.48,10.22%
Ireland,"1,709.24","1,709.24","1,799.73","1,872.61","1,928.64","1,978.89","2,019.76","1,884.46","1,577.08","1,626.70","1,630.86","1,643.38","1,766.97","1,880.98","1,935.89","1,650.02","1,442.32","1,473.04",943.26,778.75,580.61,564.24,660.90,572.03,745.87,953.40,"1,042.05","1,052.21","1,027.00",995.14,975.67,972.79,943.36,-44.81%
Italy,"18,998.88","18,998.88","19,746.96","20,176.48","20,707.55","21,417.74","22,013.62","22,754.56","23,460.05","23,160.86","23,153.54","24,099.40","25,535.67","24,703.83","24,555.03","23,897.34","24,058.05","23,446.81","23,035.82","22,429.27","22,573.75","22,377.11","21,717.86","21,832.42","20,419.32","20,202.16","20,340.06","20,016.14","19,910.95","19,893.46","19,657.00","20,455.80","20,189.97",6.27%
Japan,"29,990.35","29,990.35","29,898.05","30,991.66","30,499.65","32,928.78","33,012.53","33,133.71","33,461.48","32,963.53","32,312.72","31,968.86","30,219.81","29,096.69","28,713.55","27,796.29","27,023.88","25,666.81","25,282.14","25,851.26","22,750.82","22,600.75","21,567.11","21,822.13","21,541.18","20,667.88","20,457.50","19,470.87","19,016.27","19,706.63","19,220.33","17,972.04","17,711.50",-40.94%
Kazakhstan,"3,839.97","3,839.97","3,820.17","3,714.98","3,606.06","3,498.35","3,442.99","3,456.02","3,447.36","3,452.87","3,463.17","3,512.47","3,590.86","3,556.64","3,581.23","3,661.78","3,728.61","3,872.18","3,929.31","4,052.75","4,293.09","4,466.03","4,470.90","4,609.18","4,717.28","4,867.20","4,930.66","5,102.43","5,167.35","5,281.85","5,418.56","6,017.66","6,261.51",63.06%
Latvia,805.03,805.03,837.76,793.15,708.91,693.30,702.50,707.03,724.03,735.31,744.57,764.59,786.49,762.40,727.94,692.69,686.51,675.28,685.14,715.66,722.11,713.54,684.03,678.87,667.61,661.15,616.73,628.61,581.01,585.64,575.76,574.99,564.99,-29.82%
Liechtenstein,1.73,1.73,1.69,1.71,1.68,1.69,1.68,1.67,1.65,1.67,1.68,1.69,1.69,1.70,1.71,1.72,1.69,1.72,1.72,1.75,1.71,1.73,1.75,1.74,1.74,1.63,1.65,1.63,1.63,1.61,1.64,1.64,1.66,-3.94%
