"Time Series - GHGs from Energy ? Other, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Ireland,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,?
Italy,"1,135.66","1,135.66","1,299.00","1,390.11","1,572.53","1,583.59","1,559.13","1,279.05","1,330.27","1,126.45","1,199.91",876.86,379.03,335.84,720.03,"1,199.59","1,314.31","1,077.66",984.93,813.98,933.77,688.35,542.43,360.58,621.81,596.84,476.54,531.31,338.31,350.38,465.70,640.49,307.07,-72.96%
Japan,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,?
Kazakhstan,"8,933.67","8,933.67","5,913.78","1,460.49","1,466.06","1,439.55","1,413.99","1,418.68","1,475.64","9,671.82","9,868.92","19,521.79","6,797.79","13,985.30","16,046.35","16,888.21","20,979.30","26,201.23","26,913.05","38,672.75","32,545.68","48,548.83","32,097.74","33,100.02","39,294.56","40,470.77","48,466.53","47,462.05","50,481.07","57,210.37","28,896.00","22,278.79","2,278.29",-74.50%
Latvia,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE",6.22,3.30,12.55,3.30,9.49,0.14,0.17,6.84,6.41,11.62,7.69,8.99,2.87,3.44,5.39,7.94,7.29,7.40,6.51,9.53,9.66,11.50,13.30,20.04,23.92,14.87,24.13,?
Liechtenstein,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,?
Lithuania,0.36,0.36,0.44,0.51,0.58,0.73,0.87,1.09,1.24,1.53,1.82,3.49,0.73,1.09,3.49,9.39,12.51,12.15,15.94,12.37,11.35,16.01,12.88,9.03,17.40,35.15,36.29,25.15,25.85,20.44,29.46,27.87,27.37,7420.64%
Luxembourg,3.14,3.14,3.15,26.90,23.76,22.17,10.83,18.62,23.13,34.24,63.33,12.26,24.34,13.60,3.28,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,-96.36%
Malta,0.80,0.80,0.69,0.82,0.88,0.98,1.17,1.13,1.10,1.09,1.13,1.28,1.38,1.45,1.32,1.32,1.31,1.45,1.67,1.72,1.88,2.03,2.75,2.48,2.85,3.11,3.40,3.56,3.71,3.31,3.34,4.14,3.21,300.14%
Monaco,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,?
Netherlands,319.85,319.85,323.00,312.38,312.38,283.71,309.60,309.93,233.43,221.89,270.73,259.83,237.62,243.77,223.37,198.70,200.02,174.60,170.76,171.79,183.61,261.63,197.42,152.75,178.45,190.66,163.89,165.14,150.84,154.10,161.74,163.38,167.27,-47.70%
New Zealand,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Norway,491.53,491.53,449.95,455.32,391.40,546.41,566.14,547.29,528.96,475.73,515.50,266.29,371.77,535.69,248.29,405.88,339.10,334.76,269.07,224.69,290.19,220.13,237.62,217.21,229.88,231.42,188.60,189.99,195.14,152.13,114.63,110.75,110.53,-77.51%
Poland,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",?
Portugal,96.84,96.84,108.38,81.16,76.72,85.58,82.75,105.99,101.83,106.16,81.18,96.42,96.42,67.68,53.95,41.05,73.85,76.68,73.92,86.44,86.80,87.04,78.27,49.18,59.19,69.26,76.75,44.20,44.12,59.13,61.04,66.81,73.46,-24.15%
Romania,"2,453.67","1,230.00","1,351.34","1,000.76",323.85,450.79,580.94,305.23,866.49,710.41,124.23,252.44,441.38,331.01,438.73,"1,360.04","1,242.01",572.44,"1,006.81",866.97,318.31,317.65,565.28,585.38,428.27,418.49,478.56,460.74,660.63,651.20,637.16,621.67,"1,103.15",-55.04%
Russian Federation,"317,736.08","317,736.08","300,167.44","71,895.49","69,723.59","33,943.11","39,376.74","28,199.84","29,592.64","25,294.96","37,820.14","10,720.88","14,504.25","19,426.97","23,757.67","27,509.26","32,723.93","39,196.97","40,445.21","46,339.20","38,019.70","40,046.85","43,551.55","46,300.00","33,757.73","34,232.28","33,982.71","32,494.80","27,896.15","19,597.71","29,250.04","29,253.99","20,789.02",-93.46%
Slovakia,478.98,478.98,412.25,351.29,314.64,254.84,279.39,269.67,220.42,204.52,168.22,147.82,154.11,112.78,116.28,102.59,95.72,132.15,110.38,75.69,82.52,69.85,82.76,80.08,67.69,65.24,63.93,65.73,66.22,89.13,83.68,69.11,64.06,-86.62%
Slovenia,41.41,32.00,6.90,1.38,1.38,1.38,1.38,1.38,1.38,2.70,2.89,3.07,3.26,3.26,3.26,3.42,3.33,3.33,3.48,3.55,3.34,2.89,3.37,3.38,3.01,3.75,3.70,3.63,4.14,3.91,4.01,3.17,4.59,-88.91%
Spain,300.49,300.49,305.83,333.91,303.73,307.36,334.19,381.18,406.16,412.42,425.37,425.78,432.38,416.12,437.65,479.19,504.91,523.86,538.41,594.64,510.26,558.85,563.89,476.18,333.05,410.83,520.91,489.61,485.66,450.65,451.84,439.09,400.19,33.18%
Sweden,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",?
Switzerland,219.42,219.42,202.05,193.83,185.55,180.06,162.67,151.81,161.76,160.80,146.65,151.03,148.29,154.42,140.01,128.76,138.60,142.64,135.52,130.46,132.47,137.28,124.54,132.33,133.27,138.57,135.05,139.26,127.50,126.46,115.01,119.37,114.63,-47.76%
TÅrkiye,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,?
Ukraine,105.93,105.93,95.51,84.76,74.44,65.10,57.27,48.91,44.94,51.51,45.69,59.00,50.75,51.73,58.09,59.37,84.44,95.57,72.37,75.90,26.33,31.60,66.21,119.24,78.01,397.74,405.88,529.75,533.77,475.64,360.17,449.59,384.48,262.96%
