"Time Series - GHGs from Energy – Energy Industries, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
France,"66,537.12","66,537.12","68,020.11","69,127.83","56,920.11","53,417.77","56,167.62","60,876.65","57,318.70","69,904.84","63,423.56","63,096.58","56,624.78","59,959.58","63,411.49","62,298.56","67,713.65","63,584.06","63,198.05","61,993.53","60,198.35","60,763.07","55,386.51","57,656.49","56,027.62","42,773.17","45,655.10","49,278.41","53,229.94","43,874.39","42,558.84","38,302.96","40,126.33",-39.69%
Germany,"430,973.02","430,973.02","417,127.07","395,424.31","384,326.22","381,831.99","370,053.65","376,909.99","355,834.81","358,719.84","346,626.28","359,650.45","372,231.56","373,658.05","387,802.38","385,605.88","380,725.59","382,971.82","389,705.94","369,020.81","343,920.70","355,787.03","353,403.73","363,682.83","370,146.88","350,529.37","338,562.25","334,775.00","313,347.20","301,397.17","251,797.50","213,169.21","240,460.61",-44.21%
Greece,"43,238.41","43,238.41","42,073.02","44,361.13","44,259.98","46,243.67","45,007.27","44,184.30","47,631.51","50,160.55","50,458.85","54,914.92","55,432.95","54,854.00","56,100.49","57,421.00","58,243.08","56,069.91","59,554.34","58,197.91","54,651.02","52,195.83","54,000.14","54,671.88","49,353.42","45,924.10","40,899.89","37,011.84","39,930.27","38,256.69","31,970.67","24,482.18","25,473.02",-41.09%
Hungary,"26,082.73","20,865.33","21,731.69","22,495.36","23,056.98","22,251.78","22,720.16","23,081.67","25,078.90","26,699.03","26,426.08","23,805.78","24,116.12","22,473.38","23,723.85","21,804.86","19,943.09","20,265.09","21,489.99","20,488.38","17,323.75","18,004.70","17,284.68","16,755.81","14,074.04","13,416.44","13,777.40","13,532.64","13,846.19","13,093.01","12,581.29","12,335.19","11,497.35",-55.92%
Iceland,13.50,13.50,15.10,14.10,14.54,14.40,15.24,12.28,7.15,9.19,6.83,6.53,6.12,7.00,5.14,3.30,3.40,9.29,25.27,10.40,7.94,8.55,6.57,7.85,4.41,5.12,4.19,2.37,2.32,2.36,4.97,1.79,2.57,-80.98%
Ireland,"11,216.00","11,216.00","11,676.91","12,338.10","12,354.40","12,691.72","13,376.33","14,096.08","14,753.52","15,134.32","15,792.72","16,109.09","17,326.33","16,410.69","15,715.35","15,326.06","15,818.51","15,065.63","14,571.34","14,691.41","13,103.03","13,363.77","11,967.96","12,810.54","11,449.19","11,244.34","11,853.54","12,575.04","11,801.86","10,540.63","9,335.53","8,635.01","10,170.20",-9.32%
Italy,"137,620.14","137,620.14","131,981.14","131,190.71","125,341.92","127,784.65","140,603.23","135,258.00","137,630.61","138,882.21","133,460.93","144,873.56","143,396.70","154,420.64","159,524.21","161,375.89","159,889.74","162,147.17","159,116.31","156,039.48","134,060.77","137,466.63","133,361.16","128,307.11","109,130.90","100,492.43","106,052.41","104,679.35","104,808.26","95,827.13","91,692.91","81,633.56","86,427.96",-37.20%
Japan,"369,878.56","369,878.56","370,781.62","375,647.22","358,393.92","392,857.52","380,658.17","383,259.66","379,229.59","366,735.71","388,807.54","397,370.75","388,558.98","415,479.50","434,631.21","432,349.68","452,029.81","443,073.20","493,370.51","474,125.27","443,767.63","476,188.28","537,346.94","584,071.41","586,071.65","555,923.72","529,955.95","524,104.61","510,542.75","472,802.90","449,887.73","438,246.89","446,619.95",20.75%
Kazakhstan,"142,368.62","142,368.62","140,085.44","117,445.55","108,204.45","95,768.51","96,572.90","88,457.20","82,086.94","78,212.65","53,400.03","60,805.05","63,296.52","67,701.09","76,408.42","87,896.33","92,263.48","99,443.09","94,847.99","89,713.17","96,061.93","103,753.04","104,898.39","110,894.26","115,522.53","114,552.23","108,151.99","111,270.76","118,473.89","125,236.58","123,545.00","124,317.81","126,641.06",-11.05%
Latvia,"6,317.03","6,317.03","5,803.74","4,937.04","4,031.68","3,755.94","3,427.61","3,554.28","3,315.56","3,378.74","2,953.58","2,501.72","2,447.13","2,343.08","2,272.79","2,080.84","2,068.99","2,096.55","1,966.42","1,938.45","1,888.54","2,273.66","2,093.61","1,878.05","1,949.47","1,693.99","1,772.42","1,854.38","1,547.69","1,931.87","1,823.70","1,367.32","1,436.64",-77.26%
Liechtenstein,0.17,0.17,0.85,1.89,1.96,1.84,2.08,2.59,2.53,2.93,2.93,2.77,2.93,2.52,2.83,2.95,3.13,2.85,2.59,2.92,2.98,3.26,3.06,2.81,3.04,2.52,2.05,2.17,2.13,2.18,3.42,2.44,2.58,1409.55%
Lithuania,"13,551.53","13,551.53","14,624.13","8,604.27","7,283.40","7,234.68","6,373.40","7,055.20","6,497.62","7,307.32","5,915.46","5,055.61","5,532.29","5,349.99","5,223.40","5,398.91","5,655.35","5,202.42","4,736.44","4,803.98","4,782.00","5,329.02","4,461.29","4,410.60","3,851.17","3,177.04","3,153.89","2,954.59","2,571.65","2,446.43","2,277.78","2,646.32","2,784.12",-79.46%
Luxembourg,34.82,34.82,36.43,36.33,38.48,41.48,103.76,93.09,105.80,148.31,168.50,117.86,282.93,"1,029.23","1,033.45","1,255.51","1,237.29","1,299.85","1,174.34",987.03,"1,188.09","1,204.58","1,011.43","1,054.82",707.31,679.38,471.48,266.26,256.62,233.26,218.05,215.07,222.00,537.55%
Malta,"1,765.01","1,765.01","1,604.87","1,541.74","2,109.40","1,815.46","1,595.64","1,652.16","1,616.70","1,641.55","1,714.90","1,607.39","1,950.06","1,963.05","2,166.50","2,072.05","1,979.70","2,001.17","2,035.06","1,992.02","1,870.44","1,867.88","1,913.56","2,025.36","1,645.10","1,604.36",852.79,559.30,718.69,698.05,739.97,810.82,772.50,-56.23%
Monaco,17.78,17.78,17.29,19.04,21.10,22.81,22.76,24.44,27.54,25.94,26.36,27.13,28.70,25.70,21.35,19.02,18.93,15.05,19.83,18.91,18.37,18.06,20.15,20.69,21.55,22.02,23.06,22.77,22.29,22.73,22.83,18.60,21.45,20.66%
Netherlands,"53,356.00","53,356.00","54,087.43","54,056.54","56,436.52","60,416.15","62,716.80","63,754.39","64,328.57","66,709.30","62,998.50","64,636.08","68,544.01","67,806.93","69,260.05","70,957.37","68,221.10","63,306.91","65,995.65","66,240.64","65,051.79","67,545.96","63,392.34","60,020.39","60,389.01","64,499.85","69,604.48","67,698.97","63,306.93","59,629.60","57,065.05","47,273.66","47,387.31",-11.19%
New Zealand,"5,986.88","5,986.88","6,096.84","7,588.37","6,647.79","5,519.72","4,782.65","5,532.45","7,137.03","5,522.79","6,754.92","6,394.99","7,884.28","7,100.99","8,428.52","8,039.10","10,085.25","9,970.81","8,313.06","9,590.32","7,359.83","6,704.73","6,283.36","7,743.41","6,424.57","5,484.39","5,299.33","4,199.03","4,786.85","4,652.50","5,449.26","5,574.64","5,399.55",-9.81%
Norway,"7,192.47","7,192.47","7,556.40","8,125.67","8,401.69","9,129.87","9,038.97","9,919.56","10,277.30","9,971.12","9,922.16","10,849.43","12,072.45","12,331.16","13,010.25","13,104.22","13,348.26","13,305.26","13,658.03","13,687.09","14,647.29","14,855.58","14,438.22","14,116.58","14,161.22","14,859.16","15,357.00","14,884.59","15,219.53","15,097.38","14,948.88","14,239.92","13,269.91",84.50%
Poland,"257,934.19","235,229.43","229,353.19","221,043.88","207,867.46","206,136.46","191,213.86","198,505.76","191,841.12","184,704.56","178,919.79","176,587.38","177,985.35","171,889.37","180,487.60","179,837.91","178,362.41","184,107.67","180,316.76","174,785.31","167,259.26","173,529.26","174,850.35","169,748.72","170,339.80","160,942.61","163,700.19","163,531.61","165,252.28","163,302.55","150,547.61","139,603.24","160,223.08",-37.88%
Portugal,"16,415.43","16,415.43","17,142.38","20,142.80","18,176.36","17,391.68","20,057.83","16,030.90","16,780.51","19,390.01","25,517.19","21,687.06","22,102.63","25,514.33","20,990.61","22,486.01","25,508.13","22,527.98","19,873.70","19,280.48","19,430.81","14,525.26","16,511.35","17,466.71","15,234.11","14,550.39","18,385.15","17,385.95","21,293.34","17,858.79","13,002.09","10,375.31","8,205.89",-50.01%
Romania,"79,147.73","71,694.67","66,147.34","59,565.70","58,174.15","59,161.19","61,537.12","63,640.79","57,175.15","48,523.12","40,658.97","43,156.50","45,547.99","43,131.88","46,407.51","41,389.58","41,154.58","43,180.79","47,039.42","45,943.56","38,402.58","34,884.24","39,438.86","36,036.13","29,509.59","29,059.97","28,723.33","26,433.00","27,277.26","25,647.15","22,269.38","18,518.38","18,887.53",-76.14%
Russian Federation,"1,171,194.98","1,171,194.98","1,098,169.87","1,070,490.81","1,050,290.50","959,231.28","909,584.43","903,858.22","851,552.28","856,320.74","841,062.55","842,615.26","854,478.74","850,411.53","862,102.81","850,473.97","861,908.76","892,928.44","879,357.27","898,704.44","838,351.46","878,937.43","888,435.26","911,080.80","853,376.27","848,749.09","820,625.09","808,954.74","806,696.99","825,088.89","811,300.49","819,801.72","866,135.27",-26.05%
Slovakia,"18,959.40","18,959.40","15,942.05","13,917.27","12,719.93","11,949.09","11,741.91","11,779.52","11,623.73","11,613.52","11,805.72","12,108.22","13,245.67","12,450.53","13,016.37","12,674.59","11,761.65","11,242.68","10,479.55","10,531.65","9,454.88","9,176.81","9,297.69","8,881.50","8,348.84","7,205.33","7,710.70","7,638.25","7,613.82","7,428.22","7,065.45","6,445.24","6,992.67",-63.12%
Slovenia,"6,839.58","6,374.26","5,429.99","5,963.14","5,753.26","5,535.27","5,724.18","5,326.84","5,746.74","5,986.07","5,287.45","5,592.96","6,310.54","6,563.20","6,289.99","6,422.24","6,449.28","6,505.65","6,726.90","6,500.18","6,216.70","6,346.73","6,366.05","6,058.82","5,778.78","4,452.26","4,565.79","4,934.80","4,920.89","4,806.00","4,579.60","4,514.77","4,198.37",-38.62%
Spain,"78,851.48","78,851.48","79,268.02","86,553.32","80,638.14","80,362.08","86,127.06","73,088.12","85,532.32","85,119.53","100,404.35","104,951.71","99,166.05","113,247.00","106,090.59","115,836.82","125,694.36","120,865.81","126,530.02","109,140.46","91,590.18","74,440.17","87,134.62","92,260.46","72,045.70","75,256.11","85,216.65","69,891.88","80,012.99","70,730.93","55,263.33","40,797.02","41,246.85",-47.69%
Sweden,"9,857.85","9,857.85","10,798.14","11,394.17","11,545.03","12,016.50","11,258.93","15,718.53","11,042.35","12,071.75","10,366.30","8,878.69","10,397.81","11,318.21","12,463.80","11,529.16","10,645.18","10,700.73","10,169.36","10,075.51","10,466.38","12,965.07","10,604.46","10,205.90","9,756.89","8,855.03","8,647.30","9,386.72","9,094.55","9,501.31","8,143.75","7,548.46","8,960.71",-9.10%
Switzerland,"2,514.20","2,514.20","2,797.28","2,890.57","2,559.67","2,601.84","2,639.36","2,857.46","2,857.87","3,220.40","3,245.61","3,168.62","3,310.29","3,386.93","3,384.10","3,679.52","3,813.01","4,028.67","3,715.87","3,833.92","3,670.57","3,842.55","3,594.88","3,637.15","3,729.29","3,599.55","3,286.55","3,371.29","3,290.36","3,352.41","3,362.34","3,271.00","3,221.02",28.11%
Türkiye,"37,187.50","37,187.50","38,788.85","43,320.56","42,733.31","49,040.04","50,439.83","54,425.44","59,543.82","65,114.58","70,339.21","77,725.47","79,985.73","74,257.64","74,516.36","75,694.93","90,970.45","96,674.14","114,331.50","119,993.04","119,668.28","114,153.36","126,270.30","127,087.46","121,589.23","132,412.61","135,780.00","146,029.88","157,363.11","158,585.67","149,643.61","141,894.16","159,506.24",328.92%
Ukraine,"272,681.12","272,681.12","266,513.06","263,623.75","242,817.62","201,612.65","194,731.94","172,207.60","168,701.52","155,999.91","125,301.03","115,784.64","131,185.51","120,805.52","123,730.81","118,455.98","120,788.51","129,851.70","127,171.70","127,571.82","114,757.78","121,408.72","128,288.26","131,208.44","127,119.50","109,355.29","90,163.64","98,862.07","90,453.23","98,755.58","92,220.22","86,400.26","85,235.64",-68.74%
