"Time Series - GHGs from Energy ? Transport, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Germany,"164,377.48","164,377.48","167,389.52","173,249.93","177,644.79","173,637.98","177,418.05","177,163.93","177,510.52","180,794.54","185,901.21","181,935.79","178,147.11","175,752.78","169,323.08","168,920.99","160,882.08","157,110.85","153,937.84","153,641.89","152,947.94","153,867.65","156,009.17","154,538.98","158,913.81","159,809.74","162,767.54","165,683.52","168,699.20","163,180.57","164,868.36","146,177.36","147,633.45",-10.19%
Greece,"14,502.64","14,502.64","15,312.54","15,690.17","15,884.46","16,196.55","16,540.64","16,985.66","17,716.01","19,550.30","19,877.42","18,810.54","19,712.66","20,034.41","21,104.54","21,513.76","21,820.72","22,513.24","23,130.92","22,414.08","25,231.06","22,447.65","20,093.80","16,723.65","16,502.58","16,531.42","17,082.30","17,418.41","17,194.88","17,424.89","17,837.12","15,340.92","16,751.72",15.51%
Hungary,"8,662.99","8,998.28","7,897.83","7,614.94","7,613.54","7,417.92","7,582.08","7,564.81","7,969.79","8,792.95","9,292.23","9,195.35","9,685.35","10,311.73","10,794.47","11,227.40","12,159.71","12,908.04","13,198.06","13,179.85","13,095.84","11,772.70","11,145.99","10,817.32","10,091.59","11,255.49","12,276.14","12,304.53","13,100.31","13,925.11","14,764.13","12,637.04","13,995.81",61.56%
Iceland,621.07,621.07,627.26,638.29,641.80,643.29,655.30,645.81,663.44,667.78,692.79,695.75,706.00,707.33,799.05,858.13,866.46,"1,001.90","1,037.73",982.85,944.73,895.39,862.68,844.23,858.71,865.86,895.37,976.81,"1,031.29","1,065.18","1,062.89",883.13,901.13,45.09%
Ireland,"5,143.32","5,143.32","5,323.12","5,750.90","5,725.89","5,976.10","6,268.65","7,315.05","7,690.62","9,032.17","9,734.87","10,772.36","11,294.37","11,487.03","11,689.24","12,407.17","13,115.79","13,793.42","14,379.63","13,655.78","12,436.78","11,522.10","11,213.47","10,825.79","11,050.11","11,332.12","11,810.52","12,292.53","12,013.59","12,188.38","12,196.55","10,300.71","10,989.43",113.66%
Italy,"102,191.95","102,191.95","104,817.95","109,986.75","111,654.11","111,518.55","114,217.67","115,953.22","117,891.11","122,309.87","123,875.05","123,944.25","125,717.24","128,113.07","128,250.91","129,939.64","128,360.06","129,603.27","129,636.57","122,806.10","117,265.55","115,908.96","114,909.36","107,527.49","104,427.92","109,268.97","106,693.81","105,609.99","101,538.28","105,134.01","106,339.65","86,559.54","103,279.81",1.06%
Japan,"206,170.68","206,170.68","218,113.78","224,782.13","228,507.14","237,784.92","247,210.19","254,054.67","255,876.32","253,895.30","257,971.96","257,399.77","261,378.31","257,455.03","253,140.15","246,893.61","241,129.89","238,207.56","235,263.73","227,412.69","223,931.21","224,196.78","219,248.21","220,022.87","217,040.88","212,000.16","210,678.43","208,827.64","206,987.36","204,723.11","200,693.27","178,060.32","179,412.07",-12.98%
Kazakhstan,"22,546.02","22,546.02","19,530.47","15,914.48","12,778.27","10,719.51","9,100.60","7,918.11","7,381.39","6,842.85","6,902.11","9,713.37","10,758.27","13,037.14","14,568.73","14,995.98","16,871.82","19,057.38","21,794.70","22,733.23","22,232.35","21,678.07","22,327.45","25,117.53","23,292.17","24,433.92","22,045.46","23,201.67","24,617.84","26,434.20","26,903.26","19,341.54","25,166.48",11.62%
Latvia,"3,038.40","3,038.40","2,847.73","2,537.19","2,328.49","2,207.73","2,104.87","2,069.81","2,062.15","2,034.77","1,999.44","2,213.31","2,614.09","2,692.87","2,841.33","2,982.67","3,109.65","3,423.89","3,870.57","3,655.49","3,204.02","3,275.93","2,913.20","2,810.04","2,846.10","2,969.43","3,148.80","3,167.80","3,320.59","3,349.56","3,329.83","3,107.96","3,227.90",6.24%
Liechtenstein,76.86,76.86,90.23,89.52,87.41,80.00,82.02,83.31,86.94,86.55,90.69,91.53,88.11,84.06,83.81,82.26,81.85,79.27,83.44,87.86,81.90,77.74,76.88,79.89,79.60,73.76,61.81,60.43,60.81,58.78,57.32,52.73,56.09,-27.03%
Lithuania,"5,810.70","5,810.70","6,391.33","4,231.68","3,225.55","2,585.31","3,177.84","3,490.38","3,866.98","4,056.83","3,588.67","3,215.97","3,498.30","3,602.19","3,688.14","3,980.56","4,194.57","4,445.88","5,205.23","5,173.23","4,266.40","4,382.36","4,353.67","4,367.03","4,357.83","4,832.96","5,085.41","5,470.33","5,701.72","6,069.64","6,285.10","6,137.96","6,125.07",5.41%
