"Time Series - GHGs from Industrial Processes and Product Use, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Germany,"93,227.45","93,227.45","89,560.18","89,540.78","90,803.87","96,328.55","94,758.01","92,868.82","93,460.44","81,007.09","73,403.83","76,658.24","73,024.87","71,463.64","75,462.03","77,198.81","74,091.10","74,302.98","75,198.89","71,559.53","64,037.94","61,850.34","61,816.26","60,924.66","60,750.38","60,673.96","59,700.47","61,517.88","65,452.91","62,548.95","59,534.42","55,140.32","57,180.43",-38.67%
Greece,"10,933.61","10,933.61","10,855.34","10,322.43","10,642.69","11,130.85","12,818.40","13,470.93","13,908.41","14,550.71","15,245.63","14,281.96","13,797.29","13,972.48","13,832.39","13,989.37","14,774.73","12,522.41","12,924.49","12,712.42","10,977.42","11,433.79","10,044.05","10,855.79","11,571.55","11,938.38","11,580.37","12,088.79","12,383.89","11,994.43","11,346.95","10,158.91","9,991.75",-8.61%
Hungary,"14,541.89","11,358.68","7,823.80","6,194.63","6,990.67","8,412.39","8,049.86","8,344.01","7,715.51","7,304.44","7,190.48","7,958.53","7,859.86","7,339.59","7,499.03","8,161.54","8,848.04","8,484.12","8,323.48","7,223.81","6,219.13","6,402.32","6,560.57","6,257.29","5,639.90","6,402.81","6,993.44","6,527.65","7,210.15","7,443.50","7,344.45","7,353.18","7,149.77",-50.83%
Iceland,902.66,902.66,790.99,585.01,551.64,520.89,553.02,530.11,649.01,785.20,938.98,991.79,990.99,978.95,966.75,974.79,950.45,"1,394.36","1,538.48","2,052.84","1,869.12","1,898.80","1,829.25","1,897.74","1,946.31","1,921.17","1,970.24","1,953.28","1,999.90","2,041.27","2,007.33","1,974.61","2,006.80",122.32%
Ireland,"3,197.40","3,197.40","2,922.60","2,848.33","2,846.39","3,123.59","3,107.74","3,282.91","3,717.61","3,512.18","3,639.33","4,406.82","4,485.06","4,002.29","3,427.09","3,623.79","3,905.75","3,840.27","3,900.62","3,645.68","2,803.90","2,584.61","2,461.20","2,663.02","2,611.72","3,021.40","3,205.65","3,424.74","3,442.59","3,184.88","3,141.66","2,828.02","3,242.83",1.42%
Italy,"39,257.16","39,257.16","38,825.91","38,365.62","35,442.84","34,066.83","37,270.73","34,427.48","35,089.02","35,746.64","36,275.56","38,367.94","40,410.74","40,971.62","43,001.18","46,233.55","47,225.64","44,046.78","44,473.89","42,374.64","37,512.24","38,960.39","39,307.60","36,644.72","35,764.44","35,403.26","33,327.78","33,571.44","33,880.67","34,927.21","34,037.65","31,039.64","31,852.11",-18.86%
Japan,"109,935.81","109,935.81","114,487.97","116,363.98","118,577.14","126,111.46","136,267.49","138,425.43","135,494.76","122,783.62","110,201.29","108,272.18","97,263.20","90,634.25","89,399.60","86,028.79","87,081.51","89,933.62","89,005.17","84,597.47","77,353.16","80,646.09","82,477.06","85,078.40","89,366.01","91,994.41","93,006.62","96,071.86","98,894.42","99,902.42","101,078.22","100,710.99","103,258.47",-6.07%
Kazakhstan,"22,737.40","22,737.40","21,713.80","19,795.85","16,820.65","12,685.17","13,990.09","12,257.19","15,771.28","16,338.77","16,797.10","17,341.32","18,159.78","18,413.38","20,194.54","20,326.22","20,853.67","22,444.70","23,387.31","21,813.78","21,299.45","20,182.94","21,131.87","21,364.77","23,654.62","24,135.95","25,774.75","24,840.59","25,563.97","24,535.75","25,792.76","27,031.37","27,083.92",19.12%
Latvia,656.41,656.41,588.79,308.50,150.04,197.36,226.76,249.34,274.03,286.84,327.54,284.48,314.18,332.38,353.67,379.48,367.15,418.48,439.49,449.88,448.85,741.89,839.22,897.55,840.20,853.89,780.66,680.22,758.09,885.51,881.41,861.32,868.75,32.35%
Liechtenstein,0.60,0.60,0.58,0.62,0.68,0.86,1.55,1.84,2.18,2.67,3.23,4.03,4.81,5.49,6.13,6.74,7.06,7.41,8.16,8.71,8.25,8.69,9.10,9.41,9.53,9.69,9.69,9.30,9.56,9.70,9.36,8.92,8.29,1273.34%
