"Time Series - GHGs from Energy ? Manufacturing Industries and Construction, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Germany,"185,672.58","185,672.58","164,147.19","153,527.71","142,565.36","140,819.25","144,147.76","134,892.17","138,894.88","134,340.68","131,891.95","128,227.34","121,176.24","120,460.75","117,240.51","116,331.16","113,411.35","118,243.77","126,054.43","126,227.36","108,699.56","124,357.93","121,445.74","116,891.80","117,584.52","117,833.98","126,220.25","128,425.48","130,040.47","125,059.46","122,454.90","120,557.78","126,071.77",-32.10%
Greece,"9,400.30","9,400.30","9,449.69","9,105.91","8,820.36","8,670.13","9,548.25","10,163.18","10,272.03","10,226.22","9,207.18","9,926.26","10,050.39","9,503.29","9,174.10","8,690.97","10,228.09","10,465.69","10,051.85","9,425.85","7,527.91","6,891.90","4,978.72","5,520.28","5,282.79","5,465.92","5,242.54","5,355.47","5,781.18","5,118.82","4,615.86","4,450.69","4,825.44",-48.67%
Hungary,"16,381.23","13,398.38","11,604.95","9,383.63","8,846.96","8,269.85","8,175.03","8,472.50","6,310.38","5,531.36","5,182.66","4,563.74","4,916.22","4,950.63","4,692.68","4,520.27","4,585.48","4,400.78","4,421.41","4,389.22","3,189.11","3,361.76","3,423.47","2,945.78","3,871.96","3,910.14","4,139.37","4,628.70","4,943.60","5,224.19","5,145.78","4,970.07","5,210.78",-68.19%
Iceland,301.84,301.84,227.73,286.90,310.18,290.78,294.83,339.56,393.39,365.14,381.18,329.56,364.35,374.02,344.52,343.87,298.44,291.82,287.05,259.37,184.74,138.32,144.98,132.66,121.89,87.87,117.09,124.47,97.35,90.48,71.62,54.46,76.64,-74.61%
Ireland,"4,065.48","4,065.48","4,149.97","3,823.97","4,030.70","4,262.61","4,277.92","4,147.98","4,486.31","4,467.26","4,631.02","5,413.60","5,385.29","5,054.41","5,176.87","5,259.93","5,441.00","5,249.11","5,350.99","5,165.30","4,159.52","4,198.78","3,759.93","3,863.76","4,016.27","4,261.48","4,309.63","4,367.39","4,503.76","4,719.45","4,624.79","4,512.36","4,624.47",13.75%
Italy,"92,149.73","92,149.73","89,470.63","89,482.88","88,034.76","89,821.35","90,202.90","89,331.44","93,413.33","96,852.12","101,830.44","96,243.77","91,621.41","89,476.81","95,661.94","94,526.23","92,297.89","89,143.78","91,276.62","86,799.62","64,568.90","70,057.55","70,896.40","66,489.74","56,770.97","52,586.44","55,579.19","54,356.95","53,122.15","54,226.00","49,957.99","45,831.68","53,863.41",-41.55%
Japan,"351,435.23","351,435.23","348,032.79","342,964.62","343,984.46","352,919.95","359,810.73","363,195.23","359,251.82","334,419.93","339,038.88","349,191.10","343,284.62","348,885.56","346,895.28","346,385.53","336,867.46","334,362.57","332,689.29","303,590.58","286,575.01","303,332.49","302,236.83","302,035.43","307,108.29","299,508.99","290,334.43","276,465.29","272,170.28","269,658.65","262,145.40","235,717.02","251,570.71",-28.42%
Kazakhstan,"18,862.92","18,862.92","18,477.62","33,555.83","26,422.60","17,801.37","15,564.94","13,489.80","13,825.27","12,950.49","20,358.70","22,107.28","24,669.66","26,050.35","27,196.47","24,906.51","28,531.81","29,249.03","31,434.57","28,899.64","28,368.33","28,707.48","29,594.95","29,565.41","27,500.16","34,912.55","37,206.50","36,244.92","36,914.68","35,918.26","25,548.80","26,326.20","24,287.23",28.76%
Latvia,"3,965.32","3,965.32","2,994.08","2,531.34","2,197.58","1,972.90","1,926.34","1,882.23","1,825.88","1,594.58","1,443.71","1,175.48","1,075.67","1,123.95","1,142.00","1,159.42","1,168.50","1,241.73","1,238.17","1,129.49",905.85,"1,107.03",913.20,963.02,808.44,739.87,687.39,620.00,663.89,754.63,674.09,658.03,655.60,-83.47%
Liechtenstein,36.28,36.28,35.93,36.31,37.57,35.61,35.68,35.75,37.59,40.34,39.80,36.40,36.38,37.86,41.16,39.80,39.14,40.51,33.88,36.33,27.54,26.07,23.55,25.71,26.38,27.32,27.58,25.95,27.68,24.59,24.11,22.84,23.21,-36.02%
