"Time Series - GHGs from Energy – Fugitive Emissions from Fuels, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Hungary,"4,301.16","3,810.61","3,838.70","3,629.45","3,724.78","4,027.46","3,752.54","3,790.96","3,720.29","3,639.30","3,516.64","3,439.90","3,231.75","3,178.01","3,074.51","2,819.15","2,604.72","2,491.68","2,297.46","2,310.35","2,175.52","2,197.85","2,150.91","2,067.92","2,058.75","2,005.64","1,990.75","1,983.57","2,029.24","2,046.88","2,030.93","2,021.63","1,959.26",-54.45%
Iceland,62.12,62.12,70.62,68.34,86.12,70.87,83.02,82.14,67.75,84.85,112.81,154.84,145.49,149.14,138.02,124.72,120.11,130.13,150.84,189.43,173.30,195.32,184.00,175.72,177.61,188.04,168.24,152.91,150.18,160.17,167.34,179.69,180.25,190.15%
Ireland,118.54,118.54,108.04,102.74,106.96,105.47,105.99,106.34,103.91,88.93,128.37,93.15,164.08,83.02,830.64,92.46,82.52,95.76,105.28,99.32,93.98,97.39,89.14,87.42,85.31,98.20,99.21,100.37,105.70,106.62,101.62,102.36,101.64,-14.26%
Italy,"14,203.15","14,203.15","14,018.74","14,090.05","14,143.35","13,794.16","13,375.81","13,064.47","13,199.81","13,165.78","12,114.53","12,090.46","11,430.96","11,282.02","11,720.56","10,703.86","10,615.74","9,932.59","9,764.59","9,745.35","9,205.90","9,676.26","9,842.51","9,643.61","9,583.66","9,101.14","8,677.10","7,881.13","7,882.68","7,449.49","6,964.49","6,193.35","5,707.95",-59.81%
Japan,"5,301.74","5,301.74","4,979.77","4,135.16","3,571.40","3,350.94","3,297.47","3,012.54","2,869.45","2,624.82","2,607.11","2,437.21","2,241.42","1,645.55","1,560.82","1,509.47","1,536.10","1,582.96","1,631.55","1,548.65","1,454.78","1,397.33","1,379.95","1,375.35","1,289.46","1,289.73","1,243.20","1,284.59","1,273.39","1,192.59","1,116.09","1,090.59","1,044.24",-80.30%
Kazakhstan,"74,146.74","74,146.74","66,514.02","63,438.87","56,154.31","48,371.40","41,900.16","44,323.45","47,839.32","55,490.49","46,268.37","48,656.56","47,403.53","52,198.53","54,273.45","55,544.08","52,649.19","52,473.83","48,109.14","45,368.95","42,504.38","39,889.38","41,439.27","40,369.36","42,025.45","41,209.70","39,496.86","36,908.93","38,748.62","39,892.79","37,425.01","34,808.11","40,481.35",-45.40%
Latvia,277.30,277.30,267.10,243.52,232.89,227.58,221.63,213.56,199.32,191.24,182.32,168.72,163.62,170.88,133.37,132.02,149.17,106.99,109.83,112.78,106.54,102.60,70.60,89.17,113.13,151.57,115.15,130.58,171.02,102.00,109.72,112.61,110.13,-60.28%
Liechtenstein,0.41,0.41,0.48,0.54,0.58,0.62,0.67,0.74,0.77,0.83,0.89,0.93,0.99,1.05,1.11,1.17,1.22,1.26,1.27,1.30,1.24,1.26,1.24,1.26,1.29,1.25,1.29,1.29,1.32,1.31,1.33,1.33,1.36,233.88%
Lithuania,320.75,320.75,315.23,308.55,312.00,306.44,312.50,317.37,339.24,339.53,291.74,326.83,336.85,342.25,327.94,371.33,408.37,384.01,342.70,395.97,466.39,526.18,453.83,504.70,535.36,566.45,549.39,591.56,561.34,555.04,562.34,463.28,488.22,52.21%
Luxembourg,21.95,21.95,22.77,23.76,24.66,24.83,28.31,30.98,31.68,31.93,33.06,33.95,37.73,54.04,54.77,60.78,59.86,62.82,58.78,56.21,56.82,61.11,52.97,54.19,46.14,43.57,39.18,36.01,35.47,34.88,34.92,31.52,33.90,54.47%
Malta,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,—
Monaco,1.78,1.78,1.58,1.38,1.10,0.83,0.69,0.69,0.69,0.69,0.69,0.66,0.62,0.62,0.62,0.62,0.65,0.65,0.64,0.61,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.55,0.55,0.54,0.53,0.52,-70.57%
Netherlands,"3,061.53","3,061.53","2,991.91","2,921.36","2,850.51","2,784.78","2,713.60","2,496.27","1,924.96","1,746.44","1,441.39","1,399.66","1,285.35","2,186.03","2,101.82","1,997.84","2,130.80","2,031.24","2,176.57","2,010.77","1,983.73","2,077.65","1,936.77","1,766.53","1,946.41","1,871.95","1,764.67","1,790.34","1,725.90","1,634.42","1,578.20","1,404.66","1,540.85",-49.67%
New Zealand,"1,431.33","1,431.33","1,497.36","1,452.73","1,497.31","1,583.89","1,379.58","1,790.36","1,817.77","1,798.19","1,689.68","1,607.57","1,661.35","1,532.62","1,425.95","1,708.09","1,886.76","2,260.45","2,094.92","2,091.52","2,358.15","2,764.87","2,619.82","2,121.04","1,749.81","1,875.10","2,020.35","1,750.17","1,564.06","1,466.34","1,339.89","1,198.54","1,113.26",-22.22%
Norway,"3,000.99","3,000.99","2,369.08","2,701.42","2,915.18","3,036.14","2,885.93","3,301.12","3,192.40","3,339.48","3,892.86","4,127.45","3,793.93","3,315.20","3,277.67","3,193.51","3,186.42","3,102.31","4,442.12","3,699.79","3,092.46","3,244.81","3,243.10","3,237.00","3,209.26","2,772.92","3,054.91","2,928.70","2,711.62","2,561.76","2,053.26","1,952.75","2,108.95",-29.72%
Poland,"32,170.54","29,162.34","24,516.04","24,603.43","23,477.75","22,955.19","23,928.73","23,479.15","24,407.38","22,923.71","23,453.21","23,704.28","26,035.60","24,931.45","25,978.74","25,364.90","26,191.32","26,621.36","25,713.52","25,725.79","23,973.65","24,179.56","24,495.13","24,763.13","25,847.15","25,817.77","26,925.30","26,775.19","26,681.79","26,367.65","23,683.21","23,428.42","23,069.48",-28.29%
Portugal,218.02,218.02,211.02,206.00,219.95,387.87,453.85,402.04,504.52,479.68,427.97,397.93,486.45,481.30,532.21,551.07,631.40,605.11,626.05,579.45,543.17,644.40,599.80,684.98,"1,261.34","1,091.37","1,218.95","1,145.31","1,225.80","1,130.15","1,215.07","1,091.86","1,025.37",370.30%
Romania,"46,876.46","34,191.39","29,133.01","27,246.28","26,013.97","26,530.91","27,486.03","26,989.84","32,874.26","31,060.72","30,270.76","17,986.30","16,696.49","18,657.62","19,396.75","17,831.50","18,233.74","17,503.89","15,797.54","15,415.70","14,017.67","13,363.91","12,915.25","12,357.57","11,779.32","11,344.84","11,056.64","10,557.76","10,328.39","10,090.45","10,292.06","9,578.95","9,439.75",-79.86%
Russian Federation,"285,508.83","285,508.83","268,150.95","250,232.34","231,498.68","212,020.93","208,467.07","206,367.28","204,300.55","200,544.04","208,101.62","213,062.11","213,642.21","220,277.33","227,774.93","236,049.82","238,341.15","240,873.53","246,157.45","227,207.84","208,218.38","225,121.51","229,070.50","228,279.22","217,685.25","201,382.56","191,120.47","192,024.66","202,025.01","216,980.58","231,644.72","216,977.66","230,344.46",-19.32%
Slovakia,"2,699.20","2,699.20","2,661.09","2,630.68","2,531.95","2,509.26","2,470.08","2,431.01","2,327.67","2,380.58","2,316.74","2,087.23","1,938.57","1,854.86","1,712.28","1,688.31","1,557.61","1,404.01","1,288.29","1,339.27","1,193.80","1,109.74","1,062.77",825.52,834.61,768.60,638.90,632.33,594.76,513.99,535.29,474.52,489.05,-81.88%
Slovenia,649.32,560.94,522.21,571.52,524.41,503.48,531.59,511.91,547.82,544.92,521.01,514.83,506.37,553.96,584.05,583.93,569.60,580.48,587.89,569.72,560.80,563.49,572.78,556.93,495.37,388.77,400.84,429.15,440.73,420.76,408.82,411.32,358.69,-44.76%
Spain,"3,766.76","3,766.76","3,400.17","3,674.85","3,529.17","3,689.25","3,357.11","3,258.93","3,274.82","3,196.98","3,237.57","3,310.31","3,203.03","3,241.59","2,985.52","3,236.30","3,249.01","3,406.51","3,535.78","3,273.37","3,105.03","3,037.35","3,401.97","3,931.29","4,397.29","4,551.66","4,053.50","4,095.80","4,117.32","4,112.20","3,887.67","3,784.90","3,726.69",-1.06%
Sweden,426.49,426.49,387.13,414.49,449.24,401.12,440.32,432.94,466.81,478.44,485.69,481.75,487.16,476.32,487.50,492.37,459.93,905.07,942.58,941.87,940.48,894.77,900.43,912.32,764.24,830.65,877.24,693.95,852.63,873.06,583.12,495.45,51.08,-88.02%
Switzerland,402.44,402.44,442.31,457.12,473.15,479.52,476.15,475.18,458.29,439.29,419.35,396.25,381.44,365.34,348.05,340.25,341.84,319.20,306.85,300.97,293.87,306.07,309.50,281.34,258.28,248.31,240.34,241.59,241.54,238.60,240.84,232.82,229.15,-43.06%
Türkiye,"4,509.85","4,509.85","4,299.64","4,244.58","4,133.49","3,998.86","4,022.56","4,059.72","4,364.36","4,744.85","5,720.49","6,145.39","5,702.40","5,417.51","5,190.18","5,134.40","5,752.07","6,085.51","7,948.98","8,409.62","8,128.12","8,226.06","9,064.72","9,381.28","8,523.65","10,216.36","5,496.14","8,595.77","6,698.73","7,661.85","9,675.99","8,581.34","10,188.23",125.91%
Ukraine,"127,473.81","127,473.81","122,515.83","116,777.96","110,432.59","103,352.43","96,024.28","95,720.28","94,416.08","93,473.75","96,291.80","89,215.65","87,642.59","79,398.33","80,909.23","78,572.86","75,703.76","73,838.14","74,520.18","70,289.38","63,529.82","62,682.79","62,989.89","57,688.35","53,411.33","47,980.22","41,139.90","45,958.65","43,000.23","45,706.65","47,932.77","50,419.80","50,358.44",-60.50%
United Kingdom of Great Britain and Northern Ireland,"45,108.89","45,108.89","45,020.57","44,878.09","42,831.00","35,552.77","37,872.26","36,472.14","32,812.36","30,669.61","26,308.87","24,719.14","23,354.26","22,310.87","20,052.12","19,765.76","18,244.69","16,621.19","16,286.64","15,147.51","15,177.61","14,765.46","14,175.67","13,332.53","12,572.13","12,334.97","12,012.24","10,810.95","10,448.13","10,565.92","10,137.97","8,779.10","7,965.08",-82.34%
